"","shape","rate","iteration","ranmom_biopsied","randad_biopsied","ranparent_ratio","mean_ranmom_age","mean_randad_age","mean_ranmom_age_sampled","mean_randad_age_sampled","pgamma","realmom_biopsied","realdad_biopsied","realparent_ratio","mean_realmom_age","mean_realdad_age","mean_realmom_age_sampled","mean_realdad_age_sampled","parent_ratio_diff","mean_age_diff"
"42",6.4,0.22,10.5,101.85,89.75,1.14615135179273,16.7905455570318,20.7879276885292,16.4212068023026,20.2149403206198,0.96343130851313,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.89670579106441,3.06500492236444
"43",6.5,0.22,10.5,103.05,91.25,1.1339394351696,16.6014248902847,20.9054124894311,16.3974242014003,20.4371918824126,0.962270052472858,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.908917707687541,2.84275336057166
"44",6.6,0.22,10.5,101.75,89.85,1.1394607008179,16.7833570882152,21.1760643394935,16.4823697622816,20.3450384159503,0.960826015822869,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.903396442039239,2.93490682703392
"45",6.7,0.22,10.5,103.1,91.35,1.13942198257992,16.6325417723558,21.1006369529331,16.5036448786688,20.4804336019298,0.959107165614292,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.903435160277222,2.79951164105441
"46",6.8,0.22,10.5,104.85,90.25,1.16817003365173,16.6071212304224,21.3481318194629,16.3392999470088,20.5088880586421,0.957120335907429,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.874687109205408,2.77105718434217
"47",6.9,0.22,10.5,103.25,86.2,1.20205148717096,16.7135668559005,21.5762068687845,16.5450786597927,20.7655118720117,0.954871328901581,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.84080565568618,2.51443337097257
"48",7,0.22,10.5,103.75,86.15,1.20936879150968,16.6675560655474,21.6993409026855,16.4463500417599,21.0216579545597,0.952365015181589,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.833488351347459,2.25828728842452
"49",5.3,0.23,10.5,102.55,99.95,1.03138001492264,16.65406973467,18.4724064903169,16.4764235832507,17.8894960103528,0.950416086755438,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,1.0114771279345,5.39044923263148
"50",5.4,0.23,10.5,104.4,97.9,1.07518493409874,16.6587554857672,18.7731726859121,16.4094766959566,18.3881597604143,0.954151621191048,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.967672208758407,4.89178548256998
"51",5.5,0.23,10.5,101.65,96.3,1.06157482280364,16.6669267624914,18.9153351854089,16.3284323477448,18.198846420735,0.957403329730969,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.981282320053505,5.08109882224922
"52",5.6,0.23,10.5,101.15,97.85,1.03813142845194,16.6975125820349,18.9825973346217,16.5646268120272,18.273676113635,0.960198882842305,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,1.0047257144052,5.00626912934925
"53",5.7,0.23,10.5,98.95,97.65,1.01739785253891,16.6378395136289,19.1686351008576,16.5051743423728,18.6123858139789,0.962564224773979,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,1.02545929031824,4.66755942900539
"54",5.8,0.23,10.5,103.9,94.8,1.09988177086139,16.7301328662882,19.3501505817933,16.4885427128759,18.973246149244,0.964523538449452,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.942975371995754,4.30669909374021
"55",5.9,0.23,10.5,99.2,93.65,1.06421339696824,16.6275331159158,19.4993018480493,16.465899169436,19.0208068608695,0.966099233537727,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.978643745888899,4.25913838211479
"56",6,0.23,10.5,103.85,94.2,1.11279540514255,16.7330591456295,19.767102709667,16.299784958689,19.2841371641395,0.967311954816527,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.930061737714596,3.99580807884472
"57",6.1,0.23,10.5,102.45,92.45,1.11319860142901,16.6500603937674,19.8538056125941,16.4136234164742,19.2012686909002,0.968180608086103,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.929658541428135,4.07867655208405
"58",6.2,0.23,10.5,103.1,96.25,1.07968213277725,16.6098542497081,19.9574715142731,16.3321610341866,19.3451473682051,0.968722401057898,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.963175010079895,3.93479787477913
"59",6.3,0.23,10.5,103.5,91.4,1.13518187690903,16.7075451946692,20.257854008133,16.3882041999103,19.6207918535417,0.96895289682269,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.907675265948113,3.65915338944257
"60",6.4,0.23,10.5,101.5,93.8,1.08895608600139,16.6559604622136,20.2567705439465,16.5190576117158,19.4888891784125,0.968886077692089,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.953901056855749,3.79105606457172
"61",6.5,0.23,10.5,100.6,91.15,1.10987612251317,16.7560450134879,20.4586910657487,16.4105666003443,19.8887200032677,0.968534417400315,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.932981020343972,3.39122523971658
"62",6.6,0.23,10.5,102.5,88.85,1.16584472622615,16.7563578532029,20.6380432419374,16.5528952095202,19.9734491426334,0.967908959845985,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.87701241663099,3.3064961003509
"63",6.7,0.23,10.5,100.45,90.75,1.1126248465903,16.5984285541732,20.7782759592543,16.4479064859428,20.0321181612226,0.967019402742667,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.930232296266838,3.24782708176169
"64",6.8,0.23,10.5,103.65,88,1.18484258486081,16.738486934815,20.9250936103394,16.4848389425101,20.136969957189,0.965874184729475,143,70,2.04285714285714,18.7183302665849,23.2799452429843,18.4182880774257,23.2799452429843,0.85801455799633,3.14297528579522
